t_sim_s,x,y,phi,v,delta,ref_idx,a
1286.2759,58.800384521484375,214.70274353027344,-1.568226908975188,0.0,0.0,2,0.004143948200207166
1286.4119,58.800384521484375,214.70274353027344,-1.56822637634297,0.0008054944100107,0.0,3,0.002134298075076453
1286.4895,58.800384521484375,214.70274353027344,-1.56822637634297,0.0008435557999606,0.0,4,1.0721386638390777
1286.5581,58.800384521484375,214.70274353027344,-1.56822637634297,0.000837318710153,0.0,5,3.43491143525704
1286.6956,58.800384521484375,214.70274353027344,-1.56822637634297,6.462533989746262e-05,0.0,7,4.823938019506467
1286.7612,58.80048751831055,214.66436767578125,-1.56822105002079,1.0712685440891696,0.0,8,4.877933776464473
1286.8942,58.8011474609375,214.40890502929688,-1.568220251072463,2.36444838557788,0.0,11,4.814179190051725
1286.9614,58.80155944824219,214.24557495117188,-1.568220251072463,2.461138684138558,0.0,12,3.6191160085062917
1287.1003,58.80244064331055,213.90597534179688,-1.568221316336899,2.4184759668360285,0.0,15,1.1001903384805716
1287.1651,58.80284881591797,213.749755859375,-1.568222381601335,2.3966051672657467,0.0,16,-0.47849365539849353
1287.3002,58.80366897583008,213.43299865722656,-1.568224778446316,2.2938440106696123,0.0,19,-0.651390125602612
1287.3604,58.804012298583984,213.2965545654297,-1.568225044762425,2.242063257478009,0.0,21,-0.34660036083149315
1287.4916,58.80474472045898,213.01361083984372,-1.568227175291297,2.1050301568399354,0.0,24,0.3028295858995338
1287.5539,58.80508804321289,212.8821258544922,-1.568227175291297,2.123194368532039,0.0,26,0.8562114329247619
1287.6728,58.80575942993164,212.61854553222656,-1.5682301047684963,2.345286404738243,0.0,29,1.2168738504625165
1287.8002,58.80657958984375,212.29820251464844,-1.5682317026651502,2.6479923590966497,0.0,32,1.4433029700632662
1287.8652,58.80702590942383,212.1222076416016,-1.5682335668779133,2.7441263419757336,0.0,34,1.362099816749415
1287.994,58.80795669555664,211.7627868652344,-1.5682338331940224,2.8198409228047274,0.0,38,1.074720484696006
1288.0583,58.80842590332031,211.58053588867188,-1.5682338331940224,2.851686572630513,0.0,40,0.9872743508188503
1288.1902,58.80939865112305,211.1954498291016,-1.5682346321423497,2.978894017389184,0.0,45,1.1504908529234332
1288.2504,58.80986785888672,211.01235961914065,-1.5682338331940224,3.089105231141715,0.0,47,1.233988922072259
1288.3745,58.81087875366211,210.61517333984372,-1.5682338331940224,3.2902878207495183,0.0,51,1.2742520312962775
1288.5051,58.81200408935547,210.17567443847656,-1.5682338331940224,3.424170296954376,0.0,56,1.2620121152275963
1288.5686,58.81256103515625,209.9562225341797,-1.5682338331940224,3.4813461205531238,0.0,58,1.203680441297705
1288.6949,58.8137092590332,209.50718688964844,-1.5682338331940224,3.6234865007628505,0.0,63,1.1165648389726073
1288.7599,58.81432342529297,209.26870727539065,-1.5682338331940224,3.7065248629956447,0.0,66,1.159468902782518
1288.8907,58.81558990478516,208.7722930908203,-1.5682338331940224,3.8765486301932937,0.0,71,1.1789599195324096
1288.9517,58.81620407104492,208.53335571289065,-1.5682338331940224,3.954474326483208,0.0,74,1.1813319360888208
1289.0909,58.81765365600586,207.9709930419922,-1.5682335668779133,4.11051099380681,0.0,80,1.244956061741175
1289.1497,58.81827163696289,207.72706604003903,-1.5682335668779133,4.173281547041574,0.0,83,1.2313189533328002
1289.2831,58.81973648071289,207.1587829589844,-1.5682327679295862,4.338061752805742,0.0,89,1.2234029376797633
1289.4051,58.82112503051758,206.61978149414065,-1.5682327679295862,4.489967802124371,0.0,95,1.221201150671292
1289.4722,58.8219108581543,206.3150787353516,-1.5682327679295862,4.57237410788493,0.0,98,1.2133619526511126
1289.5976,58.82338333129883,205.7321014404297,-1.5682325016134773,4.716014150084851,0.0,104,1.1219185457901313
1289.665,58.82420349121094,205.41143798828125,-1.5682322352973683,4.788979541434825,0.0,108,0.9391672282539467
1289.7878,58.825721740722656,204.81358337402344,-1.5682322352973683,4.935725711063603,0.0,114,0.7659842083850465
1289.8506,58.82651901245117,204.50112915039065,-1.5682319689812594,5.014222389656641,0.0,117,0.7293391493965844
1289.9784,58.82815933227539,203.8562774658203,-1.5682317026651502,4.987286748606607,0.0,124,0.7522340679812576
1290.1076,58.829833984375,203.20216369628903,-1.5682317026651502,5.0670857177482205,0.0,132,0.661930375340952
1290.1706,58.83065414428711,202.8796844482422,-1.5682317026651502,5.16724712316804,0.0,135,0.4401250377312165
1290.3002,58.8323974609375,202.19873046875,-1.5682317026651502,5.309692197311646,0.0,142,0.13123936737033937
1290.3606,58.83321762084961,201.8781280517578,-1.5682317026651502,5.30218627874955,0.0,146,-0.26186884404678246
1290.4885,58.83492660522461,201.2084503173828,-1.5682317026651502,5.1394478972449145,0.0,152,-0.8153211937323945
1290.5527,58.83576202392578,200.88185119628903,-1.5682317026651502,5.046163936480252,0.0,156,-1.2605908357036784
1290.673,58.83730316162109,200.28414916992188,-1.5682319689812594,4.9263000603892255,0.0,162,-1.4214819895485427
1290.7932,58.83878707885742,199.7037811279297,-1.5682322352973683,4.735318066358066,0.0,167,-1.5148780143417948
1290.8583,58.83957290649414,199.39956665039065,-1.5682325016134773,4.615969573999452,0.0,171,-1.4971396566165396
1290.9815,58.84098052978516,198.8457794189453,-1.5682327679295862,4.40418261244647,0.0,176,-1.3758815250716285
1291.108,58.84238052368164,198.29840087890625,-1.5682327679295862,4.266551206936902,0.0,182,-1.277424324889569
1291.1711,58.84306335449219,198.0313415527344,-1.5682335668779133,4.208773133316036,0.0,185,-1.1199220418750002
1291.2959,58.84439468383789,197.5146026611328,-1.5682335668779133,4.076963468359627,0.0,190,-0.8362120446424214
1291.3626,58.84507751464844,197.24583435058597,-1.5682317026651502,3.9968998471083226,0.0,193,-0.583776258258903
1291.4816,58.84627914428711,196.7774810791016,-1.5682338331940224,3.9033302974625994,0.0,198,-0.33931462893906694
1291.6052,58.84750747680664,196.2941436767578,-1.5682338331940224,3.931191477278351,0.0,204,-0.10533080968022057
1291.6678,58.84814834594727,196.04693603515625,-1.5682338331940224,3.960356604715684,0.0,206,0.04694785483195174
1291.7995,58.84947967529297,195.52243041992188,-1.5682338331940224,3.986065368020912,0.0,212,0.09417445047291917
1291.8665,58.85016632080078,195.2557373046875,-1.5682338331940224,3.982467137766817,0.0,214,0.042877832837810104
1292.0018,58.85156631469727,194.7186279296875,-1.5682338331940224,3.964710861636057,0.0,220,-0.00608470103914982
1292.0633,58.85218048095703,194.4745635986328,-1.5682338331940224,3.963985363577813,0.0,223,-0.0276666607914966
1292.1868,58.85344696044922,193.9847869873047,-1.5682338331940224,3.9704405512540326,0.0,228,-0.0022175435095901364
1292.3034,58.854618072509766,193.5216522216797,-1.5682338331940224,3.9698967204434137,0.0,233,0.026867936881176835
1292.362,58.85520553588867,193.288818359375,-1.5682338331940224,3.9709691245528185,0.0,235,0.028483469469060108
1292.4805,58.85640335083008,192.8178253173828,-1.5682338331940224,3.973991331340465,0.0,240,0.017741018574331413
1292.604,58.85767364501953,192.32667541503903,-1.5682338331940224,3.9815728307545815,0.0,245,0.014267489031439151
1292.6617,58.85826110839844,192.0970458984375,-1.5682338331940224,3.981336553546324,0.0,248,0.016330772047031594
1292.7863,58.85953140258789,191.60130310058597,-1.5682338331940224,3.9767417367254536,0.0,253,0.011953151247194871
1292.8537,58.86021423339844,191.333251953125,-1.5682338331940224,3.9783915973022177,0.0,256,0.005900161650311819
1292.9822,58.86151123046875,190.8216552734375,-1.5682338331940224,3.9828996306380975,0.0,261,0.009909422825356895
1293.1119,58.86284637451172,190.30523681640625,-1.5682338331940224,3.984617682704144,0.0,266,0.014645147684959614
1293.1757,58.86349487304688,190.05079650878903,-1.5682338331940224,3.9841918632470734,0.0,269,0.01084070491660638
1293.3053,58.86479187011719,189.5345458984375,-1.5682338331940224,3.983795849850061,0.0,274,0.006114533158261715
1293.3696,58.86544418334961,189.2784881591797,-1.5682338331940224,3.9859826318625697,0.0,277,0.009201572640075817
1293.501,58.8668098449707,188.75436401367188,-1.5682338331940224,3.986149300994352,0.0,283,0.014785575617213276
1293.563,58.86745834350586,188.50738525390625,-1.5682338331940224,3.9874825455061513,0.0,285,0.01488523493652405
1293.6897,58.86875915527344,188.001953125,-1.5682338331940224,3.990528573085142,0.0,290,0.009157437223780374
1293.7523,58.869407653808594,187.75198364257807,-1.5682338331940224,3.992244715629206,0.0,293,0.007153504281712131
1293.8782,58.87070846557617,187.24932861328125,-1.5682338331940224,3.992419001019949,0.0,298,0.00977709199731791
1294.0039,58.87200546264648,186.7478790283203,-1.5682338331940224,3.988870369060753,0.0,304,0.012957396525583142
1294.0722,58.87268829345703,186.47532653808597,-1.5682338331940224,3.9919149817214623,0.0,306,0.015028775918263904
1294.1917,58.8738899230957,185.9978485107422,-1.5682338331940224,3.995873228867149,0.0,311,0.012827198960997155
1294.2535,58.87453842163086,185.7509307861328,-1.5682338331940224,3.9998574563727822,0.0,314,0.009758525064250012
1294.3796,58.87583923339844,185.2465057373047,-1.5682338331940224,3.9998350361946367,0.0,319,0.011386937859647173
1294.4981,58.87706756591797,184.7730865478516,-1.5682338331940224,3.9942815328470624,0.0,324,0.008026881081464321
1294.5612,58.87771987915039,184.5211334228516,-1.5682338331940224,3.996262342999403,0.0,327,0.00623565127727721
1294.683,58.87898254394531,184.03366088867188,-1.5682338331940224,4.002912805448855,0.0,332,0.01670105972126823
1294.8079,58.8802490234375,183.53392028808597,-1.5682338331940224,4.00084476087254,0.0,337,0.02100901847766945
1294.87,58.880897521972656,183.28509521484372,-1.5682338331940224,4.005083382972156,0.0,340,0.011744556912521631
1295.0005,58.88222885131836,182.76251220703125,-1.5682338331940224,4.005734245790811,0.0,345,0.008439109765096653
1295.0621,58.88284683227539,182.51593017578125,-1.5682338331940224,4.005818648533324,0.0,348,0.009097563419008914
1295.1824,58.88407516479492,182.0338592529297,-1.5682338331940224,4.005101056827456,0.0,353,0.002046094665691278
1295.3107,58.8853759765625,181.5198974609375,-1.5682338331940224,4.007095619259036,0.0,358,0.005181849039208153
1295.3739,58.886024475097656,181.2665557861328,-1.5682338331940224,4.007930088004669,0.0,361,0.016860051291958555
